State,X,Y
Andhra Pradesh,-39.0,-92.0
Arunachal Pradesh,128.0,62.0
Assam,112.0,37.0
Bihar,33.0,31.0
Chhattisgarh,-11.0,-18.0
Goa,-92,-87
Gujarat,-117.0,3.0
Haryana,-67.0,72.0
Himachal Pradesh,-57.0,107.0
Jharkhand,27.0,3.0
Karnataka,-74.0,-99.0
Kerala,-66.0,-142.0
Madhya Pradesh,-48.0,-2.0
Maharashtra,-73.0,-40.0
Manipur,121.0,19.0
Meghalaya,95.0,28.0
Mizoram,110.0,3.0
Nagaland,129.0,35.0
Odisha,129.0,35.0
Punjab,-76.0,93.0
Rajasthan,-97.0,44.0
Sikkim,63.0,53.0
Tamil Nadu,-46.0,-135.0
Telangana,-39.0,-58.0
Tripura,97.0,7.0
Uttar Pradesh,-20.0,45.0
Uttarakhand,-37.0,86.0